Year,NGDP_R,NGDP_RPCH,NGDP,NGDPD,PPPGDP,NGDP_D,NGDPRPC,NGDPRPPPPC,NGDPPC,NGDPDPC,PPPPC,NGAP_NPGDP,PPPSH,PPPEX,NID_NGDP,NGSD_NGDP,PCPI,PCPIPCH,PCPIE,PCPIEPCH,TM_RPCH,TMG_RPCH,TX_RPCH,TXG_RPCH,LUR,LE,LP,GGR,GGR_NGDP,GGX,GGX_NGDP,GGXCNL,GGXCNL_NGDP,GGSB,GGSB_NPGDP,GGXONLB,GGXONLB_NGDP,GGXWDN,GGXWDN_NGDP,GGXWDG,GGXWDG_NGDP,NGDP_FY,BCA,BCA_NGDPD
1980,6763.5,-0.257,2857.33,2857.33,2857.33,42.246,29713.75,32016.17,12552.94,12552.94,12552.94,-2.752,21.32,1,23.31,22.053,82.383,13.502,86.75,11.887,-6.657,-7.439,10.755,12.277,7.175,99.303,227.622,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2857.33,2.316,0.081
1981,6935.15,2.538,3207.03,3207.03,3207.03,46.243,30163.89,32501.19,13948.7,13948.7,13948.7,-2.045,21.397,1,24.277,23.195,90.933,10.378,94.183,8.569,2.608,2.04,1.221,-0.638,7.617,100.4,229.916,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3207.03,5.031,0.157
1982,6810.13,-1.803,3343.8,3343.8,3343.8,49.1,29337.82,31611.11,14404.99,14404.99,14404.99,-6.547,20.936,1,22.071,21.706,96.533,6.158,97.967,4.017,-1.271,-2.528,-7.653,-8.5,9.708,99.529,232.128,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3343.8,-5.533,-0.165
1983,7122.3,4.584,3634.03,3634.03,3634.03,51.023,30405.15,32761.15,15513.68,15513.68,15513.68,-5.158,21.39,1,22.253,19.721,99.583,3.16,101.817,3.93,12.63,13.583,-2.592,-3.256,9.6,100.822,234.247,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3634.03,-38.695,-1.065
1984,7637.7,7.236,4037.65,4037.65,4037.65,52.865,32321.06,34825.51,17086.44,17086.44,17086.44,-1.459,21.97,1,25.096,21.834,103.933,4.368,105.783,3.896,24.337,24.187,8.147,7.1,7.508,105.003,236.307,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4037.65,-94.342,-2.337
1985,7956.18,4.17,4339,4339,4339,54.536,33371.05,35956.86,18199.32,18199.32,18199.32,-0.817,22.098,1,24.188,20.302,107.6,3.528,109.283,3.309,6.49,6.264,3.348,3.514,7.192,107.154,238.416,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4339,-118.159,-2.723
1986,8231.65,3.462,4579.63,4579.63,4579.63,55.634,34214.05,36865.19,19034.77,19034.77,19034.77,-0.997,22.105,1,23.741,18.877,109.692,1.944,111.133,1.693,8.53,10.231,7.673,5.356,7,109.601,240.593,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4579.63,-147.176,-3.214
1987,8516.43,3.46,4855.25,4855.25,4855.25,57.01,35083,37801.47,20000.97,20000.97,20000.97,-0.899,22.036,1,23.62,19.543,113.617,3.578,115.783,4.184,5.94,4.667,10.921,12.233,6.175,112.439,242.751,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4855.25,-160.661,-3.309
1988,8872.18,4.177,5236.43,5236.43,5236.43,59.021,36217.76,39024.16,21376,21376,21376,0.072,21.966,1,22.828,20.561,118.275,4.1,120.983,4.491,3.93,4.05,16.219,17.778,5.492,114.974,244.968,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5236.43,-121.159,-2.314
1989,9197.98,3.672,5641.6,5641.6,5641.6,61.335,37195.71,40077.88,22814.08,22814.08,22814.08,0.686,21.97,1,22.514,19.672,123.942,4.791,126.95,4.932,4.402,4.303,11.573,11.435,5.258,117.327,247.286,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5641.6,-99.485,-1.763
1990,9371.48,1.886,5963.13,5963.13,5963.13,63.631,37478.79,40382.9,23847.98,23847.98,23847.98,-0.406,21.518,1,21.529,18.671,130.658,5.419,134.267,5.763,3.579,2.915,8.824,8.565,5.617,118.796,250.047,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5963.13,-78.965,-1.324
1991,9361.33,-0.108,6158.13,6158.13,6158.13,65.783,36944.07,39806.74,24302.78,24302.78,24302.78,-2.892,20.985,1,20.111,18.729,136.167,4.216,138.2,2.929,-0.151,0.448,6.612,6.719,6.85,117.713,253.392,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6158.13,2.895,0.047
1992,9691.08,3.522,6520.33,6520.33,6520.33,67.282,37741.19,40665.63,25392.93,25392.93,25392.93,-2.019,19.559,1,20.078,17.6,140.308,3.042,142.55,3.148,7.013,9.432,6.927,7.522,7.492,118.488,256.777,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6520.33,-51.614,-0.792
1993,9957.78,2.752,6858.55,6858.55,6858.55,68.876,38277.58,41243.58,26364.19,26364.19,26364.19,-1.926,19.716,1,20.394,16.963,144.475,2.97,146.333,2.654,8.646,10.007,3.268,3.248,6.908,120.259,260.146,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6858.55,-84.816,-1.237
1994,10358.93,4.029,7287.25,7287.25,7287.25,70.348,39339,42387.25,27674.02,27674.02,27674.02,-0.717,19.925,1,21.279,17.772,148.225,2.596,150.317,2.722,11.923,13.354,8.836,9.58,6.1,123.071,263.325,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7287.25,-121.612,-1.669
1995,10636.98,2.684,7639.75,7639.75,7639.75,71.823,39919.87,43013.13,28671.48,28671.48,28671.48,-0.971,19.741,1,21.273,18.669,152.383,2.805,154.383,2.705,8.003,9.005,10.274,11.642,5.592,124.908,266.458,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7639.75,-113.571,-1.487
1996,11038.25,3.772,8073.13,8073.13,8073.13,73.138,40946,44118.77,29946.97,29946.97,29946.97,-0.498,19.73,1,21.702,19.557,156.858,2.937,159.15,3.088,8.697,9.372,8.178,8.895,5.408,126.72,269.581,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8073.13,-124.773,-1.546
1997,11529.15,4.447,8577.55,8577.55,8577.55,74.399,42258.86,45533.36,31440.09,31440.09,31440.09,0.317,19.807,1,22.41,20.758,160.525,2.338,161.833,1.686,13.468,14.414,11.912,14.477,4.942,129.572,272.822,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8577.55,-140.72,-1.641
1998,12045.83,4.481,9062.83,9062.83,9062.83,75.236,43640.76,47022.34,32833.67,32833.67,32833.67,0.932,20.138,1,22.958,21.302,163.008,1.547,164.433,1.607,11.686,11.847,2.332,2.177,4.5,131.476,276.022,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9062.83,-215.066,-2.373
1999,12623.38,4.795,9631.18,9631.18,9631.18,76.296,45213.48,48716.93,34496.24,34496.24,34496.24,1.781,20.402,1,23.419,20.841,166.583,2.193,169.267,2.939,11.594,12.815,4.985,4.201,4.217,133.501,279.195,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9631.18,-286.609,-2.976
2000,13138.05,4.077,10250.95,10250.95,10250.95,78.025,46539.99,50146.22,36312.78,36312.78,36312.78,2.058,20.261,1,23.678,20.726,172.192,3.367,175.067,3.427,13.002,13.06,8.311,9.799,3.967,136.901,282.296,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10250.95,-401.917,-3.921
