iter	Logloss
0	0.6336811996
1	0.5844421349
2	0.5434944422
3	0.5092254324
4	0.4804517404
5	0.4557853796
6	0.4351851321
7	0.4179241828
8	0.4028820755
9	0.3894485984
10	0.3774610485
11	0.3674200722
12	0.3583575532
13	0.3508490854
14	0.3444180639
15	0.3380419936
16	0.3326226045
17	0.3281919175
18	0.3237367659
19	0.3200376616
20	0.3177057523
21	0.314989798
22	0.3128500258
23	0.3105935639
24	0.3092968628
25	0.3072674753
26	0.30627769
27	0.3047511787
28	0.3032542747
29	0.3023044198
30	0.3012133966
31	0.3004925481
32	0.299525015
33	0.2985642132
34	0.2979267113
35	0.2974618626
36	0.296943677
37	0.2963811405
38	0.2960065557
39	0.2955497585
40	0.2951774347
41	0.2946315065
42	0.2942867894
43	0.2939505846
44	0.293652975
45	0.2934137067
46	0.2931607216
47	0.2928997456
48	0.2926345725
49	0.2924384464
50	0.2921819984
51	0.2919710039
52	0.2916872309
53	0.2915481802
54	0.2913817531
55	0.2911784572
56	0.2910796294
57	0.2908708248
58	0.2906635628
59	0.2905799372
60	0.2904504592
61	0.2903350342
62	0.2902685259
63	0.2901985893
64	0.2899755876
65	0.2897677611
66	0.2895674638
67	0.2894167185
68	0.2893052824
69	0.2891619363
70	0.2889746531
71	0.2889184762
72	0.288800204
73	0.2886482907
74	0.2885563594
75	0.2885378315
76	0.2884613312
77	0.2884228482
78	0.2882956195
79	0.2881928803
80	0.2880780261
81	0.287952333
82	0.2878986556
83	0.2878225291
84	0.2877323558
85	0.287614071
86	0.2875641311
87	0.2875393464
88	0.2874374109
89	0.2873728764
90	0.2872881937
91	0.2871904159
92	0.2871789852
93	0.2871199478
94	0.2870358323
95	0.2869356965
96	0.2868725118
97	0.2867268731
98	0.286683938
99	0.2865901235
