iter	Passed	Remaining
0	5	524
1	9	467
2	13	442
3	17	426
4	22	424
5	26	416
6	30	409
7	35	409
8	39	403
9	44	398
10	48	395
11	53	390
12	57	385
13	61	380
14	66	374
15	70	369
16	74	363
17	78	359
18	83	354
19	87	349
20	90	341
21	95	337
22	99	331
23	102	325
24	106	319
25	110	313
26	112	304
27	116	300
28	120	295
29	124	290
30	128	285
31	132	280
32	135	275
33	139	271
34	143	266
35	147	262
36	151	257
37	155	253
38	158	248
39	162	243
40	166	239
41	169	233
42	172	228
43	176	224
44	180	220
45	184	216
46	187	211
47	191	207
48	194	202
49	198	198
50	202	194
51	206	190
52	210	186
53	213	182
54	217	178
55	221	173
56	224	169
57	228	165
58	231	161
59	234	156
60	237	152
61	240	147
62	243	142
63	246	138
64	248	133
65	251	129
66	254	125
67	257	121
68	260	117
69	263	112
70	266	108
71	268	104
72	270	100
73	273	96
74	276	92
75	279	88
76	282	84
77	285	80
78	288	76
79	291	72
80	294	69
81	298	65
82	301	61
83	304	57
84	307	54
85	310	50
86	313	46
87	316	43
88	319	39
89	322	35
90	325	32
91	328	28
92	331	24
93	334	21
94	337	17
95	341	14
96	344	10
97	348	7
98	351	3
99	354	0
